Path/Name,Phrase
ascii/32,空格
ascii/35,井
ascii/42,星
ascii/46,点
ascii/45,杠
ascii/33,叹号
ascii/64,At
ascii/36,Dollar
ascii/37,百分号
ascii/38,And号
ascii/34,双引号
ascii/39,单引号
ascii/47,斜杠
ascii/95,下划线
ascii/92,反斜杠
ascii/126,波浪线
ascii/61,等号
ascii/58,冒号
ascii/59,分号
ascii/94,脱字符
ascii/124,竖线
ascii/43,加号
ascii/40,左括号
ascii/41,右括号
ascii/123,左大括号
ascii/125,右大括号
ascii/91,左方括号
ascii/93,右方括号
ascii/44,逗号
ascii/96,反撇号
ascii/60,小于号
ascii/62,大于号
ascii/97,A
ascii/98,B
ascii/99,C
ascii/100,D
ascii/101,E
ascii/102,F
ascii/103,G
ascii/104,H
ascii/105,I
ascii/106,J
ascii/107,K
ascii/108,L
ascii/109,M
ascii/110,N
ascii/111,O
ascii/112,P
ascii/113,Q
ascii/114,R
ascii/115,S
ascii/116,T
ascii/117,U
ascii/118,V
ascii/119,W
ascii/120,X
ascii/121,Y
ascii/122,Z
phonetic-ascii/32,空格
phonetic-ascii/46,点
phonetic-ascii/97,Alpha
phonetic-ascii/98,Bravo
phonetic-ascii/99,Charlie
phonetic-ascii/100,Delta
phonetic-ascii/101,Echo
phonetic-ascii/102,Foxtrot
phonetic-ascii/103,Golf
phonetic-ascii/104,Hotel
phonetic-ascii/105,India
phonetic-ascii/106,Juliet
phonetic-ascii/107,Kilo
phonetic-ascii/108,Lima
phonetic-ascii/109,Mike
phonetic-ascii/110,November
phonetic-ascii/111,Oscar
phonetic-ascii/112,Papa
phonetic-ascii/113,Quebec
phonetic-ascii/114,Romeo
phonetic-ascii/115,Sierra
phonetic-ascii/116,Tango
phonetic-ascii/117,Uniform
phonetic-ascii/118,Victor
phonetic-ascii/119,Whiskey
phonetic-ascii/120,Xray
phonetic-ascii/121,Yankee
phonetic-ascii/122,Zulu
phonetic-ascii/42,星号
phonetic-ascii/35,井号
digits/0,零
digits/1,一
digits/2,二
digits/3,三
digits/4,四
digits/5,五
digits/6,六
digits/7,七
digits/8,八
digits/9,九
digits/10,十
digits/11,十一
digits/12,十二
digits/13,十三
digits/14,十四
digits/15,十五
digits/16,十六
digits/17,十七
digits/18,十八
digits/19,十九
digits/20,二十
digits/30,三十
digits/40,四十
digits/50,五十
digits/60,六十
digits/70,七十
digits/80,八十
digits/90,九十
digits/dot,点
digits/h-1,第一
digits/h-2,第二
digits/h-3,第三
digits/h-4,第四
digits/h-5,第五
digits/h-6,第六
digits/h-7,第七
digits/h-8,第八
digits/h-9,第九
digits/h-10,第十
digits/h-11,第十一
digits/h-12,第十二
digits/h-13,第十三
digits/h-14,第十四
digits/h-15,第十五
digits/h-16,第十六
digits/h-17,第十七
digits/h-18,第十八
digits/h-19,第十九
digits/h-20,第二十
digits/h-30,第三十
digits/hundred,百
digits/thousand,千
digits/million,百万
digits/period,点
digits/point,点
digits/pound,井
digits/star,星
currency/and,And
currency/cent,分
currency/central,Central
currency/cents-per-minute,美分每分钟
currency/cents,分
currency/dollar,元
currency/dollars,元
currency/minus,负
currency/negative,负
time/a-m,上午
time/at,在
time/day-0,星期日
time/day-1,星期一
time/day-2,星期二
time/day-3,星期三
time/day-4,星期四
time/day-5,星期五
time/day-6,星期六
time/hour,小时
time/hours,小时
time/minute,分
time/minutes,分
time/second,秒
time/seconds,秒
time/mon-0,一月
time/mon-1,二月
time/mon-2,三月
time/mon-3,四月
time/mon-4,五月
time/mon-5,六月
time/mon-6,七月
time/mon-7,八月
time/mon-8,九月
time/mon-9,十月
time/mon-10,十一月
time/mon-11,十二月
time/oclock,点
time/oh,零
time/p-m,下午
time/today,今天
time/tomorrow,明天
time/yesterday,昨天
voicemail/vm-person,分机
voicemail/vm-marked-urgent,设置紧急
voicemail/vm-marked_new,标记新
voicemail/vm-emailed,已发送邮件
voicemail/vm-you_have,您有
voicemail/vm-from,信息来自
voicemail/vm-enter_id,请输入您的ID，然后按
voicemail/vm-enter_pass,请输入您的密码，然后按
voicemail/vm-fail_auth,登录错误
voicemail/vm-hello,欢迎进入您的语音邮箱
voicemail/vm-goodbye,再见
voicemail/vm-record_name1,请在滴声后录下您的名字，按任意键结束录音
voicemail/vm-choose_greeting_choose,选择欢迎声音，请按1到9选择
voicemail/vm-choose_greeting_fail,选择错误
voicemail/vm-abort,失败次数过多
voicemail/vm-change_password,修改密码
voicemail/vm-record_greeting,录制欢迎音
voicemail/vm-record_message,请在滴声后开始录音，按任意键或停止说话结束录音
voicemail/vm-play_greeting,不可达
voicemail/vm-urgent-new,新紧急
voicemail/vm-new,新
voicemail/vm-urgent-saved,紧急留言已保存
voicemail/vm-saved,已保存
voicemail/vm-message,留言
voicemail/vm-message_alt,留言
voicemail/vm-messages,留言
voicemail/vm-messages_alt,留言
voicemail/vm-no_more_messages,没有留言
voicemail/vm-repeat_message,重复此留言
voicemail/vm-delete_message,删除此留言
voicemail/vm-save_message,保存此留言
voicemail/vm-play_next_message,播放下一个留言
voicemail/vm-play_previous_message,播放上一个留言
voicemail/vm-undelete_message,删除留言
voicemail/vm-send_message_now,现在发送此留言
voicemail/vm-message_envelope,听到留言信息
voicemail/vm-has_been_changed_to,已更改为
voicemail/vm-press,按
voicemail/vm-received,收到
voicemail/vm-followed_by,然后
voicemail/vm-that_was_an_invalid_ext,这是个无效的分机
voicemail/vm-undeleted,取消删除
voicemail/vm-followed_by_pound,然后按#号
voicemail/vm-next,下一个
voicemail/vm-listen_new,听取新留言
voicemail/vm-listen_saved,收听已保存的消息
voicemail/vm-advanced,高级选项
voicemail/vm-advanced_alt,高级选项
voicemail/vm-to_exit,退出
voicemail/vm-to_exit_alt,退出
voicemail/vm-to_record_greeting,录制欢迎音
voicemail/vm-choose_greeting,选择一个欢迎音
voicemail/vm-record_name2,录制您的名字
voicemail/vm-main_menu,主菜单
voicemail/vm-listen_to_recording,收听录音
voicemail/vm-save_recording,保存录音
voicemail/vm-rerecord,重新录音
voicemail/vm-mark-urgent,将该留言设置为紧急
voicemail/vm-mark_message_new,标记为新留言
voicemail/vm-continue,继续
voicemail/vm-listen_to_recording_again,重听
voicemail/vm-delete_recording,删除录音
voicemail/vm-forward_to_email,将录音转发到您的电子邮箱
voicemail/vm-to_forward,转发留言
voicemail/vm-forward_enter_ext,请输入分机号码转发此留言
voicemail/vm-forward_add_intro,给留言添加介绍
voicemail/vm-greeting,欢迎
voicemail/vm-selected,已选择
voicemail/vm-not_available,不存在
voicemail/vm-message_number,留言号码
voicemail/vm-deleted,已删除
voicemail/vm-too-small,留言时间太短，请重试
voicemail/vm-in_folder,收件箱
voicemail/vm-return_call,返回通话
voicemail/vm-urgent,紧急
voicemail/vm-mailbox_full,留言信箱已满，请稍后再试
voicemail/vm-tutorial_yes_no,欢迎进入您的新语音信息。收听设置语音信箱的帮助信息，请按1，跳过请按2
voicemail/vm-tutorial_record_name,我们需要录制您的姓名，该姓名会用于整个系统，包括公司电话号码簿
voicemail/vm-tutorial_change_pin,您的密码用于保护您的语音邮箱，您想要现在修改密码吗？
voicemail/vm-not_available_no_voicemail,您所拨号的用户不可达，他也没有语音邮箱
voicemail/vm-pin_below_minimum_length,输入的PIN码低于最小长度。
voicemail/vm-minimum_pin_length_is,PIN码最小长度是...
voicemail/vm-password_has_been_changed,您的密码已更改
voicemail/vm-enter_new_pin,请输入您的新密码并按#键结束
voicemail/vm-password_not_valid,您输入的密码无效
voicemail/vm-password_is_not_secure,诸如1111或1234这样的密码是不安全的
voicemail/vm-choose_password,请选择不包含所有重复或连续数字的密码
voicemail/vm-voicemail_password_is_web_password,请记住，您的语音信箱密码也是您的网页界面密码
voicemail/vm-message_from,留言来自.
voicemail/vm-nobody_leaving_message,当前语音信箱没有新留言
voicemail/vm-last,最后
voicemail/vm-delete_greeting,删除问候语
voicemail/vm-listen_to_greeting,收听问候语...
voicemail/vm-main_menu_alt,返回主菜单...
voicemail/vm-message_forwarded,消息已转发
voicemail/vm-no_answer_no_vm,被呼叫的分机无应答且未配置语音信箱。
directory/dir-enter_person,请输入姓名拼音的前几位字母
directory/dir-last_name,...姓...
directory/dir-to_search_by,搜索...
directory/dir-first_name,...名字...
directory/dir-no_matching_results,没找到相应的结果
directory/dir-result_match,...条相应的结果
directory/dir-too_many_result,搜到太多对应的结果
directory/dir-no_more_results,没有了
directory/dir-result_number,号码是...
directory/dir-at_extension,...分机号...
directory/dir-to_select_entry,选择该条...
directory/dir-for_next,到下一条...
directory/dir-for_prev,选择上一条...
directory/dir-start_new_search,重新搜索...
directory/dir-specify_mininum,请输入最小的...
directory/dir-letters_of_person_name,...人名的字符
directory/dir-please_try_again,请重试
directory/dir-press,请按...
directory/dir-for_next,到下一条...
directory/dir-enter_person_first_or_last,请输入您要查找的人姓名的开头几个字母
directory/dir-enter-person,请输入姓名的前几个字母
directory/dir-no_match_entry,您的搜索没有返回结果，请重试。
directory/dir-no_more_result,没有更多结果
directory/dir-specify_mininum_first,您需要至少指定...
directory/dir-to_make_new_search,开始新搜索
directory/dir-to_many_result,您的搜索返回了太多结果。
conference/conf-ack,NULL
conference/conf-nack,NULL
conference/conf-muted,静音
conference/conf-unmuted,解除静音
conference/conf-alone,目前该会议中只有您一个人
conference/conf-perpetual,NULL
conference/conf-enter,NULL
conference/conf-exit,NULL
conference/conf-kicked,您已被踢出会议室
conference/conf-locked,会议已锁定
conference/conf-is-locked,会议已锁定
conference/conf-is-unlocked,会议已解除锁定
conference/conf-pin,请输入会议密码
conference/conf-bad-pin,密码错误，请重新输入
conference/conf-goodbye,再见
conference/conf-welcome,欢迎进入本会议
conference/conf-enter_conf_number,请输入会议号码，按#号结束
conference/conf-enter_conf_pin,请输入会议密码，按#号结束
conference/conf-has_joined,...进入会议
conference/conf-has_left,...离开会议
conference/conf-you_are_already_muted,您已静音
conference/conf-you_are_now_bidirectionally_muted,您已双向静音
conference/conf-number_of_listeners,输入与会者编号然后按#号键
conference/conf-listeners_in_conference,...名听众参与本次会议
conference/conf-listener_in_conference,...名听众参与本次会议
conference/conf-members_in_conference,...名与会者参与本次会议
conference/conf-conference_is_in_qna_mode,本会议现在是 Q and A 模式
conference/conf-qna_mode,Q and A 模式...
conference/conf-entry_sound,进入声音...
conference/conf-exit_sound,退出声音...
conference/conf-conference_is_full,会议室已满，请联系管理员
conference/conf-conference_will_start_shortly,您的会议将很快开始，请保持在线
conference/conf-other_persons_conference,... 本次会议的其他人.
conference/conf-one_other_person_conference,在本次会议还有一个人
conference/conf-one_other_member_conference,此会议中还有一名成员
conference/conf-being_recorded,此会议正在录音。
conference/conf-no_longer_being_recorded,此会议不再录音。
ivr/ivr-account_number,账号
ivr/ivr-connect_to_caller,连接到主叫
ivr/ivr-enter_ext_pound,如果您知道分机号码，请现在输入
ivr/ivr-enter_ext,请输入分机号，以#号结束
ivr/ivr-for_this_person,该分机
ivr/ivr-hold_connect_call,正在呼叫，请稍候...
ivr/ivr-im_sorry,对不起
ivr/ivr-please,请
ivr/ivr-please_return_our_call_at,请在以下时间致电我们
ivr/ivr-regarding_reference_number,参考号码
ivr/ivr-sample_submenu,这是一个IVR子菜单的例子...
ivr/ivr-say_name,请在滴声后说出您的姓名
ivr/ivr-send_to_voicemail,将该呼叫转移到语音邮箱
ivr/ivr-speak_to_a_customer_service_representative,转接线员
ivr/ivr-take_a_message,选择一条信息
ivr/ivr-that_was_an_invalid_entry,输入错误
ivr/ivr-this_is_a_call_from,有一个电话来自
ivr/ivr-this_ivr_will_let_you_test_features,您可以通过本 IVR　测试一些功能...
ivr/ivr-to_call_the_freeswitch_conference,呼叫FreeSWITCH会议
ivr/ivr-to_do_a_freeswitch_echo_test,进行回音测试
ivr/ivr-to_do_a_fwd_echo_test,进行延迟回音测试
ivr/ivr-to_hear_sample_submenu,收听下级测试菜单
ivr/ivr-to_hear_screaming_monkeys,收听疯狂的猴子
ivr/ivr-to_listen_to_moh,收听保持音乐
ivr/ivr-to_repeat_these_options,重听
ivr/ivr-to_return_to_previous_menu,返回上一级菜单
ivr/ivr-to_speak_with_an_operator,转接线员
ivr/ivr-welcome_to_freeswitch,欢迎来到FreeSWITCH，电话系统的未来
ivr/ivr-you_may_exit_by_hanging_up,您可以随时挂机
ivr/ivr-or,或
ivr/ivr-not,不
ivr/ivr-call,呼叫
ivr/ivr-you_may,您可以
ivr/ivr-hello,您好
ivr/ivr-use_telephone_keypad,使用您电话上的按键...
ivr/ivr-spell_name,请说出您想要呼叫的人的名字
ivr/ivr-last_name_first,姓氏优先
ivr/ivr-first_name_first,名字优先
ivr/ivr-press_one_q_or_z,Q或Z请按1
ivr/ivr-sales,销售
ivr/ivr-customer_service,客服
ivr/ivr-technical_support,技术支持
ivr/ivr-operator,接线员
ivr/ivr-you_have_dialed_an_invalid_extension,您呼叫的分机不存在
ivr/ivr-please_enter_extension_followed_by_pound,请输入分机号，以#号键结束
ivr/ivr-please_enter_pin_followed_by_pound,请输入密码，以#号键结束
ivr/ivr-pin_or_extension_is-invalid,您的分机号的密码有误
ivr/ivr-you_are_about_to_provision_this_phone,您将为您的账号预留该电话...
ivr/ivr-please_reenter_your_pin,请再输入一次密码
ivr/ivr-register_for_cluecon,注册到 ClueCon，请按...
ivr/ivr-to_log_in,登录
ivr/ivr-to_log_out,退出
ivr/ivr-you_are_now_logged_in,您已登录
ivr/ivr-you_are_now_logged_out,您已退出
ivr/ivr-please_try_again,请重试
ivr/ivr-provision_phone_permanently_to_extension,您将永久预留该电话到您的分机
ivr/ivr-extension_to_provision_this_phone,预留该电话到分机，请输入分机号，以#号结束
ivr/ivr-this_phone_will_now_reboot,谢谢，该电话将会重启动
ivr/ivr-recording_saved,谢谢，您的录音已保存
ivr/ivr-save_review_record,保存录音请按1，收听录音请按2，重新录音请按 3
ivr/ivr-unable_save,现在不能保存录音，请稍后再试
ivr/ivr-you_are_number,您是第...
ivr/ivr-in_line,...排队者
ivr/ivr-thank_you_for_holding,感谢您耐心等待
ivr/ivr-estimated_hold_time,您大约需要的等待时间是...
ivr/ivr-more_than,多于...
ivr/ivr-less_than,少于...
ivr/ivr-begin_recording,请在提示音后开始录音。
ivr/ivr-call_forwarding_has_been_cancelled,呼叫前转已取消
ivr/ivr-call_forwarding_has_been_set,呼叫前转已设置
ivr/ivr-please_enter_the_phone_number,请输入电话号码
ivr/ivr-please_state_your_name_and_reason_for_calling,请说出您的姓名和呼叫原因
ivr/ivr-accept_reject_voicemail,接受请按1，拒绝请按2，转语音邮箱请按3
ivr/ivr-accept_reject,接听请按1。拒绝请按2。
